name,OneLetter,Lat,Lng,Adress,Kind,L1ud,L1dir,L1name,L1info,L2ud,L2dir,L2name,L2info,L3ud,L3dir,L3name,L3info
稲城,稲,35.636166,139.500398,,2,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,京王多摩センター・橋本方面,,,,
若葉台,若,35.619325,139.472189,,2,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,京王多摩センター・橋本方面,,,,
京王永山,永,35.630102,139.448204,,6,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,京王多摩センター・橋本方面,,,,
京王多摩センター,セ,35.62518,139.42402,,6,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,京王多摩センター・橋本方面,,,,
京王堀之内,堀,35.624438,139.400314,,2,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,橋本方面,,,,
南大沢,南,35.6141,139.3798,,6,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,橋本行,,,,
多摩境,境,35.601826,139.366987,,2,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,D,,下り,橋本行,,,,
橋本,橋,35.595518,139.343226,,6,U,,上り,調布・明大前・笹塚・新宿・都営新宿線方面,,,,,,,,
府中競馬正門前,競,35.668288,139.485019,,4,U,,競馬場線,東府中・調布・明大前・新宿・都営新宿線方面,,,,,,,,
多摩動物公園,動,35.649215,139.404627,,3,U,,動物園線,高幡不動・府中・調布・新宿・都営新宿線方面,,,,,,,,
京王片倉,片,35.644343,139.337035,,4,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,D,,下り,高尾山口方面,,,,
山田,山,35.644411,139.321082,,4,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,D,,下り,高尾山口方面,,,,
めじろ台,め,35.643601,139.308446,,6,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,D,,下り,高尾山口方面,,,,
狭間,狭,35.640637,139.293808,,4,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,D,,下り,高尾山口方面,,,,
高尾,高,35.641645,139.281551,,6,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,D,,下り,高尾山口行,,,,
高尾山口,山,35.632377,139.269856,,6,U,,上り,府中・調布・明大前・新宿・都営新宿線方面,,,,,,,,
