2400101,1130208,新宿,35.690163,139.699187,,,24001,13,160-0023,東京都新宿区西新宿一丁目1-4,,,0,2400101
2400104,2400104,笹塚,35.673758,139.667251,,,24001,13,151-0073,渋谷区笹塚１-５６-７,,,0,2400104
2400105,2400105,代田橋,35.671092,139.659413,,,24001,13,156-0041,世田谷区大原２-１８-９,,,0,2400105
2400106,2400106,明大前,35.668758,139.650352,,,24001,13,156-0043,世田谷区松原２-４５-１,,,0,2400106
2400107,2400107,下高井戸,35.66615,139.641372,,,24001,13,156-0043,世田谷区松原３-２９-１７,,,0,2400107
2400108,2400108,桜上水,35.66768,139.63129,,,24001,13,156-0045,世田谷区桜上水５-２９-５２,,,0,2400108
2400109,2400109,上北沢,35.668857,139.62329,,,24001,13,156-0057,世田谷区上北沢４-１４-３,,,0,2400109
2400110,2400110,八幡山,35.669982,139.614927,,,24001,13,168-0074,杉並区上高井戸１-１-１１,,,0,2400110
2400111,2400111,芦花公園,35.670479,139.608247,,,24001,13,157-0062,世田谷区南烏山３-１-１６,,,0,2400111
2400112,2400112,千歳烏山,35.667921,139.60067,,,24001,13,157-0062,世田谷区南烏山６-１-１,,,0,2400112
2400113,2400113,仙川,35.662257,139.584908,,,24001,13,182-0002,調布市仙川町１-４３,,,0,2400113
2400114,2400114,つつじヶ丘,35.657936,139.575103,,,24001,13,182-0006,東京都調布市西つつじヶ丘三丁目35-1,,,0,2400114
2400115,2400115,柴崎,35.653997,139.56658,,,24001,13,182-0007,調布市菊野台２-６７-１１,,,0,2400115
2400116,2400116,国領,35.650087,139.558036,,,24001,13,182-0022,調布市国領町３-１８-１,,,0,2400116
2400117,2400117,布田,35.649904,139.551557,,,24001,13,182-0022,調布市国領町５-６７-１,,,0,2400117
2400118,2400118,調布,35.652181,139.543988,,,24001,13,182-0024,調布市布田４-３２-１,,,0,2400118
2400119,2400119,西調布,35.657169,139.529822,,,24001,13,182-0035,調布市上石原１-２５-１７,,,0,2400119
2400120,2400120,飛田給,35.660121,139.523666,,,24001,13,182-0036,調布市飛田給１-４２-１１,,,0,2400120
2400121,2400121,武蔵野台,35.664159,139.511289,,,24001,13,183-0011,府中市白糸台４-１８-４,,,0,2400121
2400122,2400122,多磨霊園,35.666197,139.502615,,,24001,13,183-0015,府中市清水が丘３-２６-１１,,,0,2400122
2400123,2400123,東府中,35.668766,139.495257,,,24001,13,183-0015,府中市清水が丘１-８-３,,,0,2400123
2400124,2400124,府中,35.672245,139.479900,,,24001,13,183-0023,府中市宮町１-１-１０,,,0,2400124
2400125,1130321,分倍河原,35.668493,139.468798,,,24001,13,183-0021,府中市片町２丁目,,,0,2400125
2400126,2400126,中河原,35.659549,139.457602,,,24001,13,183-0034,府中市住吉町２-１-１６,,,0,2400126
2400127,2400127,聖蹟桜ヶ丘,35.650814,139.446979,,,24001,13,206-0011,東京都多摩市関戸一丁目10-10,,,0,2400127
2400128,2400128,百草園,35.657362,139.431285,,,24001,13,191-0033,日野市百草２０９,,,0,2400128
2400129,2400129,高幡不動,35.662361,139.412953,,,24001,13,191-0031,日野市高幡１３９,,,0,2400129
2400130,2400130,南平,35.654559,139.392008,,,24001,13,191-0041,日野市南平６-９-３１,,,0,2400130
2400131,2400131,平山城址公園,35.647371,139.379926,,,24001,13,191-0043,日野市平山５-１８-１０,,,0,2400131
2400132,2400132,長沼,35.642788,139.365849,,,24001,13,192-0907,八王子市長沼町７００,,,0,2400132
2400133,2400133,北野,35.644479,139.354489,,,24001,13,192-0911,八王子市打越町３３５-１,,,0,2400133
2400134,2400134,京王八王子,35.657416,139.343851,,,24001,13,192-0046,八王子市明神町３-２７-１,,,0,2400134
2400201,2400118,調布,35.652181,139.543988,,,24002,13,182-0024,調布市布田４-３２-１,,,0,2400201
2400202,2400202,京王多摩川,35.644499,139.536606,,,24002,13,182-0025,調布市多摩川４-４０-１,,,0,2400202
2400203,2400203,京王稲田堤,35.633895,139.531099,,,24002,14,214-0001,川崎市多摩区菅４-１-１,,,0,2400203
2400204,2400204,京王よみうりランド,35.632934,139.517597,,,24002,13,206-0812,東京都稲城市矢野口,,,0,2400204
2400205,2400205,稲城,35.636166,139.500398,,,24002,13,206-0802,稲城市東長沼３１０８,,,0,2400205
2400206,2400206,若葉台,35.619325,139.472189,,,24002,14,215-0035,川崎市麻生区黒川６０９,,,0,2400206
2400207,2400207,京王永山,35.630102,139.448204,,,24002,13,206-0025,多摩市永山１-１８-１,,,0,2400207
2400208,2400208,京王多摩センター,35.62518,139.42402,,,24002,13,206-0033,多摩市落合１-１０-２,,,0,2400208
2400209,2400209,京王堀之内,35.624438,139.400314,,,24002,13,192-0355,八王子市堀之内３-２４-４,,,0,2400209
2400210,2400210,南大沢,35.6141,139.3798,,,24002,13,192-0364,八王子市南大沢２-１-６,,,0,2400210
2400211,2400211,多摩境,35.601826,139.366987,,,24002,13,194-0212,町田市小山町２７１８-１,,,0,2400211
2400212,1130616,橋本,35.595518,139.343226,,,24002,14,252-0143,神奈川県相模原市緑区橋本六丁目1番25号,,,0,2400212
2400301,2400133,北野,35.644479,139.354489,,,24003,13,192-0911,八王子市打越町３３５-１,,,0,2400301
2400302,2400302,京王片倉,35.644343,139.337035,,,24003,13,192-0914,八王子市片倉町３４-９,,,0,2400302
2400303,2400303,山田,35.644411,139.321082,,,24003,13,193-0932,八王子市緑町４３４,,,0,2400303
2400304,2400304,めじろ台,35.643601,139.308446,,,24003,13,193-0833,八王子市めじろ台１-１００-１,,,0,2400304
